Bieniów;51.7159;15.1787;lubuskie
Bierkowice;50.4754;16.6056;dolnośląskie
Biernatki;51.1333;16.3629;dolnośląskie
Biernatowo;52.9569;16.3425;wielkopolskie
Bieruń Stary;50.086363235442;19.091792106628;śląskie
Bierutów;51.1282;17.5468;dolnośląskie
Bierzwnik;53.0246;15.6567;zachodniopomorskie
Biesal;53.7205;20.1945;warmińsko-mazurskie
Biestrzykowice;50.998767516993;17.773947715759;opolskie
Biłgoraj;50.5515;22.732;lubelskie
Biniew;51.739918656688;17.792315483093;wielkopolskie
Binino;52.6407;16.3801;wielkopolskie
Biskupice koło Kluczborka;51.071147027865;18.210396766663;opolskie
Biskupice Oławskie;50.9941;17.5151;dolnośląskie
Biskupice Wielkopolskie;52.4669;17.1701;wielkopolskie
Biskupiec Pomorski;53.4897;19.3894;warmińsko-mazurskie
Biskupiec Reszelski;53.8686;20.9559;warmińsko-mazurskie
Biskupów;50.3596;17.3067;opolskie
Bisztynek;54.088496172224;20.91372013092;warmińsko-mazurskie
Blachownia;50.7733;18.9678;śląskie
Blizna;53.9064;23.015;podlaskie
Bliżyn;51.1105;20.757;świętokrzyskie
Błaszki;51.6734;18.4715;łódzkie
Błażkowa;50.744738394319;15.990943908691;dolnośląskie
Błąkały;54.299334620033;22.629497051239;warmińsko-mazurskie
Błotnica Przećmino;54.118539881535;15.548357963562;zachodniopomorskie
Błotnica;51.992491404366;16.300406455994;wielkopolskie
Bobolice;53.957;16.5925;zachodniopomorskie
Bobowa Miasto;49.708191187208;20.938997268677;małopolskie
Bobowa;49.716710465686;20.957536697388;małopolskie
Bobowicko;52.447483230748;15.646848678589;lubuskie
Bobrowniki;54.114439719946;20.49036026001;warmińsko-mazurskie
Bobrowo Pomorskie;53.5284;16.0775;zachodniopomorskie
Bobrówka;50.049643869102;22.859115600586;podkarpackie
Bobrówko Krajeńskie;52.9515;15.4495;lubuskie
Bochnia;49.977417925121;20.430665016174;małopolskie
Boczów;52.3267;14.9463;lubuskie
Boćwinka;54.220786705782;22.14448928833;warmińsko-mazurskie
Bodzechów;50.913478327021;21.434240341187;świętokrzyskie
Bogaczewo;54.100048213748;19.573130607605;warmińsko-mazurskie
Bogatynia Wąskotorowa;50.906145076326;14.957242012024;dolnośląskie
Bogatynia Wschodnia;50.898161073089;14.972004890442;dolnośląskie
Bogatynia;50.911178354295;14.957156181335;dolnośląskie
Bogdaniec;52.689078127543;15.078692436218;lubuskie
Bogdanów;51.352540739239;19.511375427246;łódzkie
Bogoniowice Ciężkowice;49.7982;20.9765;małopolskie
Bogumiłowice;50.0076;20.8713;małopolskie
Boguszewo;53.4219;19.0011;kujawsko-pomorskie
Boguszów Gorce Wschód;50.7484;16.2228;dolnośląskie
Boguszyny;53.0817;15.3486;zachodniopomorskie
Bohumín;49.900716101951;18.359699249268;Republika Czeska
Bojanowo;51.6995;16.7454;wielkopolskie
Bojków Wąskotorowy;50.254641470163;18.679246902466;śląskie
Bojków;50.2487;18.6569;śląskie
Boksycka;50.950127252334;21.322145462036;świętokrzyskie
Bolechowo;52.539666384358;16.979155540466;wielkopolskie
Bolesławice Świdnickie;50.8882;16.4642;dolnośląskie
Bolesławiec Piastów;51.265;15.5899;dolnośląskie
Bolesławiec;51.2661;15.5692;dolnośląskie
Boleszewo;54.3723;16.585;zachodniopomorskie
Boleszkowice;52.7383;14.5179;zachodniopomorskie
Bolęcin;50.1228;19.4759;małopolskie
Bolków;50.931360118921;16.108961105347;dolnośląskie
Boniewo;52.4742;18.8855;kujawsko-pomorskie
Bonikowo;52.119445294978;16.629824638367;wielkopolskie
Bonin;54.1507;16.2532;zachodniopomorskie
Boreczek;50.8779;17.0244;dolnośląskie
Borek Strzeliński;50.8701;17.0674;dolnośląskie
Borki Opolskie;50.7432;17.8814;opolskie
Borkowice;50.9323;18.1567;opolskie
Borkowo;54.3331;18.3334;pomorskie
Borne Sulinowo;53.585626999903;16.529102325439;zachodniopomorskie
Boronów;50.6659;18.9009;śląskie
Boroszów;50.9398;18.4295;opolskie
Borowa Oleśnicka;51.1842;17.2767;dolnośląskie
Borowiany;50.548753532376;18.636589050293;śląskie
Borowiki;52.4822;23.2159;podlaskie
Borów;50.98831415909;16.23161315918;dolnośląskie
Borówki;51.358222364209;15.721778869629;dolnośląskie
Borucice;50.9822;17.5558;opolskie
Botkuny;54.305206849599;22.368206977844;warmińsko-mazurskie
Boża Wola;52.1899;20.5266;mazowieckie
Brachlewo;53.8024;18.961;pomorskie
Brachów;51.0968;16.1483;dolnośląskie
Bracław;51.544413452616;17.447876930237;dolnośląskie
Bralin;51.28927170904;17.895569801331;wielkopolskie
Braniewo;54.387605028466;19.840536117554;warmińsko-mazurskie
Bratków Zgorzelecki;50.996876903172;14.932222366333;dolnośląskie
Bratków;51.455317267959;20.114850997925;łódzkie
Bratoszewice (stara lokalizacja;51.936433749871;19.646730422974;łódzkie
Brennik;51.1455;16.3824;dolnośląskie
Brochocin Trzebnicki;51.2763;17.0941;dolnośląskie
Brochocin;51.212798133018;15.918116569519;dolnośląskie
Brochów;52.315;20.2843;mazowieckie
Brodnica Wąskotorowa;53.263197932016;19.405213594437;kujawsko-pomorskie
Brodnica;53.263570136475;19.405889511108;kujawsko-pomorskie
Brody Iłżeckie;51.021475869582;21.199836730957;świętokrzyskie
Brody Pomorskie;53.8571;18.7564;pomorskie
Brody Warszawskie;52.5138;20.748;mazowieckie
Brodzica;50.797770800221;23.844065666199;lubelskie
Brodzkie Młyny;53.8396;18.7903;pomorskie
Bronowice;52.9075;15.4946;lubuskie
Bronów;51.7958;17.7735;wielkopolskie
Brunów Lubiński;51.4001;16.066;dolnośląskie
Brusy;53.882336207843;17.727770805359;pomorskie
Brwice;52.9051;14.5349;zachodniopomorskie
Brwinów;52.1416;20.7181;mazowieckie
Brzask;51.097108064432;20.803642272949;świętokrzyskie
Brzeg;50.8531;17.4703;opolskie
Brzesko Okocim;49.986772875335;20.608892440796;małopolskie
Brześć Kujawski;52.614201475214;18.901998996735;kujawsko-pomorskie
Brzezie Karkonoskie;50.7919;15.7596;dolnośląskie
Brzezie nad Odrą;50.0772;18.2565;śląskie
Brzeziniec;50.9944;15.3996;dolnośląskie
Brzezinka Średzka;51.2197;16.8369;dolnośląskie
Brzeziny Śląskie;50.3564;18.9831;śląskie
Brzeźnica nad Wartą;51.072117796067;19.146680831909;łódzkie
Brzeźnica;49.967343452244;19.627976417542;małopolskie
Brzostków;52.096066036433;17.571859359741;wielkopolskie
Brzoza Toruńska;52.9616;18.6853;kujawsko-pomorskie
Brzozowica (dawna lokalizacja;51.954104764978;22.620463371277;lubelskie
Brzozowiec Gorzowski;52.653217901315;15.367469787598;lubuskie
Brzozowo Chełmińskie;53.321594368546;18.419737815857;kujawsko-pomorskie
Brzóstowa Opatowska;50.898431739685;21.482563018799;świętokrzyskie
Brzózki;52.1049;20.6774;mazowieckie
Bucze;52.2777;15.3564;lubuskie
Buczek;51.146132754069;17.956295013428;wielkopolskie
Budachów;52.1533;15.0813;lubuskie
Budki Nowe;52.2443;18.5635;wielkopolskie
Budowo;54.3187;17.3859;pomorskie
Budry;54.245092756914;21.894764900208;warmińsko-mazurskie
Budziszowice;50.5229;17.5334;opolskie
Budziszów;50.9252;16.912;dolnośląskie
Budzów;50.5808;16.7013;dolnośląskie
Buk Pomorski;53.4382;19.1486;kujawsko-pomorskie
Bukowa Śląska;51.101339167854;17.823557853699;opolskie
Bukowa;50.85924992492;20.201153755188;świętokrzyskie
Bukowice Trzebnickie;51.3996;17.3684;dolnośląskie
Bukowiec Międzyrzecki;52.385396541008;15.706415176392;lubuskie
Bukowina Bobrzańska;51.584376592444;15.430512428284;lubuskie
Bukowina Sycowska;51.3882;17.5834;dolnośląskie
Bukowno;50.2638;19.4588;małopolskie
Bukowo Człuchowskie;53.572734461292;17.370972633362;pomorskie
Bukowo;50.896;18.1065;opolskie
Buków Jodłów;50.4123;17.2276;opolskie
Bukówek;51.1376;16.5261;dolnośląskie
